date,1,2,3,4,5,6,7,8,9,10,H-L
193207,58.24,47.53,20.41,29.67,28.27,29.17,42.05,42.52,41.1,63.65,5.41
193208,31.9,27.7,27.01,31.35,31.55,29.98,43.75,61.24,67.37,51.37,19.47
193209,-0.91,-5.48,-0.13,2.4,-4.81,-3.56,-4.3,-5.16,-15.11,-15.84,-14.93
193210,-18.45,-21.6,-13.16,-10.08,-12.14,-12.78,-10.65,-10.34,-17.95,-20.12,-1.67
193211,-9.85,-12.71,-5.54,-6.16,-4.53,-9.14,-5.49,-2.62,-3.75,-22.4,-12.55
193212,-4.09,1.71,1.63,0.28,4.9,6.27,5.1,2.53,8.84,2.5,6.59
193301,11.86,6.58,3.85,2.37,2.22,-3.74,1.21,-0.12,4.35,-0.99,-12.85
193302,-18.37,-15.65,-18.66,-16.46,-10.69,-18.81,-12.08,-13.65,-17.39,-16.6,1.77
193303,23.88,4.51,6.87,2.89,-0.17,4.74,6.56,-1.31,8.19,3.79,-20.09
193304,54.45,26.73,25.67,29.14,40.02,35.85,55.07,54.82,60.95,47.53,-6.92
193305,27.3,18.92,18.07,21.34,14.65,26.43,27.27,19.91,26.03,38.16,10.86
193306,11.53,10.34,15.64,17.99,11.79,23.77,15.08,9.06,21.92,16.01,4.48
193307,-9.99,-7.18,-9.67,-6.52,-8.12,-8.35,-11.81,-18.04,-13.08,-17.61,-7.62
193308,28.83,21.77,12.19,12.33,15.42,9.06,10.3,12.62,11.59,8.76,-20.07
193309,-8.45,-14.03,-19.61,-8.54,-8.91,-12.17,-7.6,-10.01,-14.39,-8.51,-0.06
193310,-11.24,-13.11,-15.56,-11.79,-9.4,-8.64,-6.37,-8.88,-6.01,-7.83,3.41
193311,13.2,10.71,13.21,6.5,8.33,15.75,9.28,8.06,8.41,8.14,-5.06
193312,4.86,1.33,3.07,0.48,1,-1.97,0.95,0.47,5.33,7.89,3.03
193401,28.9,22.47,16.37,6.95,14.79,9.56,11.91,14.2,17.25,12.68,-16.22
193402,-2.6,-0.97,-4.61,-3.18,-1.71,-1.19,-1.22,-3.94,-0.65,-4.76,-2.16
193403,4.54,0.73,0.62,-1.18,-0.64,-0.82,1.35,0.95,0.5,0.81,-3.73
193404,4.91,0.96,-6.14,-2.67,-2.14,-2.1,-0.4,-0.66,-1.18,-3.05,-7.96
193405,-12.79,-11.11,-10.87,-9.91,-7.05,-5.84,-6.29,-3.22,-3.75,-5.82,6.97
193406,0.31,0.42,1.71,1.94,0.16,5.91,2.71,2.55,2.79,3.96,3.65
193407,-21.29,-20.18,-19.67,-12.72,-12.22,-7.67,-11.09,-8.18,-12.14,-13.86,7.43
193408,16.2,12.05,13.73,14.03,9.04,4.77,6.25,5.66,4.19,1.14,-15.06
193409,0.67,-1.1,1.55,0.45,-0.05,-3.86,-0.08,-2.52,-2.65,1.79,1.12
193410,-1.52,-0.56,-3.65,-0.93,-5.03,-1.73,0.07,-1.56,-2.33,2.68,4.2
193411,9.32,6.8,8.19,9.73,11.53,3.82,9.58,8.83,10.54,7.92,-1.4
193412,-4.44,-0.24,-0.96,0.67,-0.88,-0.42,2.36,3.38,2.35,5.53,9.97
193501,-3.58,-6.29,-2.79,-2.71,-3.12,-4.58,-3.82,-1.57,-3.6,-5.73,-2.15
193502,-8.24,-5.93,-4.07,-2.08,-5.47,-1.23,0.15,2.12,1.35,-7.14,1.1
193503,6.72,-10.44,-4.14,-2.86,-6.69,-4.27,-3.46,-2.49,-3.44,-3.43,-10.15
193504,14.65,10.11,9.23,12.56,5.72,9.23,7.24,9.81,8.43,10.59,-4.06
193505,5.4,4.47,4.51,3.02,2.07,4.48,4.57,3,3.94,-3.87,-9.27
193506,8.25,7.98,6.13,3.12,6.3,5.85,6.66,6.16,6.37,6.49,-1.76
193507,16.23,2.44,5.63,3.16,4.01,7.23,11.35,9.63,9.76,9.87,-6.36
193508,1.13,1.13,-1.41,0.3,3.33,1.45,7.39,7.3,4.18,2.49,1.36
193509,-0.3,0.5,-0.21,2.49,2.69,3.75,2.23,8.28,0.3,-4.4,-4.1
193510,18.96,11.41,10.46,5.8,5.73,5.4,3.03,8.57,11.36,9.77,-9.19
193511,11.7,5,4.46,7.03,5.3,5.13,2.42,3.07,7.61,1.49,-10.21
193512,6.38,3.69,3.76,3.46,3.96,3.42,6.24,11.08,6.26,2.88,-3.5
193601,4.17,3.42,5.23,5.42,5.07,6.84,13.46,9.67,4.81,12.07,7.9
193602,3.05,0.97,2.85,3.14,3.83,2.53,2.39,0.35,1.23,-9.51,-12.56
193603,0.44,0.34,-1.47,-0.11,6.4,5.19,-1.85,-0.72,-1.64,0.7,0.26
193604,-12.52,-8.77,-7,-7.48,-7.86,-7.9,-7.6,-7.09,-9.85,-10.09,2.43
193605,8.72,11.17,5.07,5.99,4.18,4.15,3.46,6.02,6.19,5.81,-2.91
193606,3.1,3.41,2.17,1.79,3.89,2.18,2.53,2.73,2.01,-2.8,-5.9
193607,12.23,7.54,7.2,8.02,6.21,9.67,4.12,7.69,5.91,6.27,-5.96
193608,1.41,1.3,1.27,-0.43,0.31,1.55,0.24,0.95,3.52,0.95,-0.46
193609,2.55,1.04,2.28,0.86,2.81,-0.13,0.71,1.04,0.19,2.81,0.26
193610,4.62,9.09,7.06,7.91,4.79,7.55,6.99,6.3,4.47,5.64,1.02
193611,6.06,3.88,2.85,3.64,2.43,2.22,4.17,5.41,2.47,3.4,-2.66
193612,-0.21,-1.72,1.21,-2.31,0.6,3.53,0.7,0.07,0.79,6.82,7.03
193701,4.13,4.29,2.21,2.17,0.26,6.46,2.03,7.95,4.03,4.58,0.45
193702,1.61,1.33,1.13,2.49,-1.08,2.91,-0.65,1.69,1.28,-0.19,-1.8
193703,-0.66,-1.91,-1.64,-3.24,-2.55,0.08,-0.22,3.11,5.46,4.55,5.21
193704,-8.75,-6.97,-4.94,-7.27,-6.28,-7.4,-6.39,-9.87,-8.45,-7.84,0.91
193705,1.73,0.46,-3.42,0.49,-2.3,-0.72,-1.74,0.55,-0.68,-1.45,-3.18
193706,-4.83,-5.88,-7.61,-5.63,-2.47,-5.87,-3.39,-2.3,-3.85,-4.06,0.77
193707,10.7,11.36,13.81,8.53,9.95,12.47,7.91,6.72,10.53,6.18,-4.52
193708,-3.54,-2.62,-2.76,-5.14,-4.64,-4.73,-6.84,-3.52,-6.73,-16.07,-12.53
193709,-20.01,-20.72,-17.82,-12.63,-15.02,-18.34,-9.89,-10.54,-13.4,-13.3,6.71
193710,-13.03,-12.87,-14.66,-14.83,-12.2,-11.18,-10.94,-7.97,-9.42,-7.2,5.83
193711,-10.03,-12.54,-6.97,-10.7,-12.53,-9.82,-7.75,-7.15,-3.19,-7.91,2.12
193712,-12.14,-6.28,-6.79,-10.33,-3.11,-1.45,-2.59,-3.13,-2.06,-7.47,4.67
193801,4.25,6.29,2.86,8.05,1.08,1.88,1.66,-0.96,-0.62,-2.46,-6.71
193802,11.78,5.86,3.13,7.44,6.21,10.13,6.38,4.07,4.07,0.66,-11.12
193803,-23.22,-19.22,-18.28,-24.54,-22.82,-24.7,-26.11,-25.3,-26.2,-29.02,-5.8
193804,26.01,27.31,18.88,19.79,18.45,16.05,14.38,10.23,14.26,9.9,-16.11
193805,-1.89,-2.37,-1.45,-4.26,-6.59,-6.13,-4.55,-8.36,-10.76,-9.17,-7.28
193806,42.5,44.99,39.05,34.89,26.81,32.47,25.17,19.68,12.82,15.2,-27.3
193807,5.88,3.13,7.16,5.17,9.63,8.97,10.55,8.72,11.9,10.66,4.78
193808,-4.65,-0.9,-3.1,-1.98,-5.68,-3.35,-5.41,3.9,-1.77,-4.02,0.63
193809,0.99,0.46,0.04,1.11,0.42,1.74,1.04,0.68,0.46,0.98,-0.01
193810,16.92,16.2,13.06,9.67,7.16,8.53,6.99,5.7,8.95,6.84,-10.08
193811,-1.04,-0.74,-1.13,-1.75,-2.85,-1.93,-0.76,-4.64,-1.84,-4.4,-3.36
193812,9.78,3.09,6.41,3.49,4.24,3.74,3.44,3.74,4.7,7.71,-2.07
193901,-3.45,-5.89,-5.88,-6.42,-3.73,-5.28,-6,-7.93,-9.51,-12.01,-8.56
193902,6.5,6.79,4.42,4.41,3.45,2.33,2.7,1.79,3.87,5.56,-0.94
193903,-10.17,-9.65,-7.54,-11.25,-11.68,-8.64,-17.98,-15.49,-15.28,-18.55,-8.38
193904,7.66,1.33,-1,0.53,-1.82,-0.57,0.32,-1.2,-1.21,1.39,-6.27
193905,12.37,7.47,8.96,7.92,5.85,5.82,6.48,5.86,6.59,5.62,-6.75
193906,-2.8,-5.76,-3.35,-3.16,-6.47,-7.69,-6.96,-7.66,-6.97,-8.1,-5.3
193907,21.15,22.11,18.45,16.39,13.91,9.21,10.65,6.17,6.91,5.57,-15.58
193908,-4.94,-4.88,-4.74,-4.41,-6.98,-8.88,-8.41,-9.34,-11.74,-15.9,-10.96
193909,44.21,40.59,26.39,25.27,39.2,16.41,20.04,12.67,8.08,20.29,-23.92
193910,7.12,4.12,3.04,-2.38,-3.15,-2.57,-5.76,-4.29,-4.5,-10.98,-18.1
193911,-13.67,-11.62,-8.56,-5.77,-3.33,-3.34,0.23,-1.21,-1.9,-3.24,10.43
193912,3.63,3.09,2.28,2.9,4.24,2.73,2.91,2.88,2.66,4.13,0.5
194001,-1.06,-2,-0.09,-2.08,-0.93,-2.73,-2.46,-2.94,-4.3,-3.23,-2.17
194002,4.08,3.81,1.82,0.57,1.23,1.9,0.74,0.62,0.41,1.87,-2.21
194003,2.86,2.13,2.8,4.17,2.04,1.11,1.1,1.9,1.56,3.93,1.07
194004,13.44,-1.27,-0.86,0.62,0.79,0.23,-0.48,-1.67,0.73,-0.99,-14.43
194005,-27.45,-24.52,-23.74,-21.98,-23.36,-18.09,-21.83,-22.08,-23.99,-31.27,-3.82
194006,13.18,9.04,9.39,9.47,7.91,7.24,8.2,7.06,5.11,4.86,-8.32
194007,5.64,4.3,3.88,3.22,3.42,4.6,2.26,3.78,1.82,-1.1,-6.74
194008,1.32,1.48,1.63,2.03,0.47,4.56,2.57,1.46,2.96,1.05,-0.27
194009,2.12,2.98,0.88,2.04,2.91,3.68,2.39,2.28,2.01,2.75,0.63
194010,9.52,4.33,4.22,3.93,2.2,-0.37,4.41,4.98,3.94,4.29,-5.23
194011,-1.69,-3.48,-3.25,-1.02,0.98,-0.13,-0.62,-1.29,-2,-4.72,-3.03
194012,-0.13,1.46,1.36,0.56,1.67,0.19,0.83,1.1,-1.24,-3.58,-3.45
194101,0.57,-0.67,-3.27,-7.12,-1.92,-3.3,-3.05,-4.61,-5.06,-5.9,-6.47
194102,1.45,0.38,-1.91,-1.81,-2.49,-0.82,-2.05,-1.68,-2.25,-2.23,-3.68
194103,-1.05,1.73,3.13,-0.05,1.91,1.53,0.11,-0.71,-0.09,1.25,2.3
194104,-6.13,-7.32,-6.25,-8.8,-5.01,-5.77,-4.11,-1.66,-3.11,-5.44,0.69
194105,1.42,1.99,1.05,2.47,0.07,2.99,-2.7,2.03,2.39,3.92,2.5
194106,4.6,7.59,7.02,8.08,4.47,4.59,3.99,6.18,7.64,3.52,-1.08
194107,11.83,8.82,9.27,4.36,3.85,7.06,5.11,7.71,3.18,10.35,-1.48
194108,1.38,1.11,-0.16,0.79,-2.05,-1.2,-2.41,-0.58,-0.24,-2.68,-4.06
194109,-3.9,0.65,-2.47,-2.83,-0.5,-0.97,-0.62,0.65,-1.31,-0.95,2.95
194110,-8.51,-5.46,-5.44,-4.94,-3.96,-7.52,-4.5,-4.45,-4.61,-6.36,2.15
194111,-8.39,-1.42,-1.33,-4.7,-2.41,-1.95,-0.74,-2.43,1.99,0.64,9.03
194112,-3.09,-8.66,-3.81,-7.48,-7,-2.1,-3.12,-2.32,-0.21,-7.7,-4.61
194201,17.88,9.57,2.98,4.57,1.97,2.84,0.77,-3.66,-2.11,-1.12,-19
194202,-4.61,-4.09,-1.12,-1.87,0.03,-0.86,-1.65,-3.12,-1.47,-2.09,2.52
194203,-3.69,-8.06,-7.73,-7.86,-8.97,-6.22,-6.56,-6.26,-1.58,-1.09,2.6
194204,-1.93,-2.86,-4.03,-5.28,-3.03,-4.78,-5.41,-3.89,-5.16,-5.78,-3.85
194205,5.67,2.64,3.53,7.31,3.9,9.44,5.39,4.12,4.9,7.28,1.61
194206,1.08,3.84,3.58,1.8,3.36,4.36,4.4,1.9,2.6,0.89,-0.19
194207,5.89,6.78,4.33,2.89,4.89,2.65,3.87,2.48,1.98,2.99,-2.9
194208,2.43,1.62,2.6,1.3,1.45,2.88,-0.12,1.61,2.11,2.94,0.51
194209,0.96,2.35,3.45,0.36,3.38,2.3,2.34,2.28,2.52,3.1,2.14
194210,8.89,7.26,8.1,4.18,6.54,5.93,6.96,6.31,10,12.16,3.27
194211,2.68,4.11,1.74,-0.21,0.4,0.67,-2.37,-2.6,-4.02,-5.38,-8.06
194212,5.16,6.07,5.86,4.07,7.15,7.07,5.48,4.12,3.95,2.25,-2.91
194301,20.23,13.99,10.09,5.9,8.65,7.73,7.6,6.32,4.03,7.49,-12.74
194302,5.06,7.58,4.56,5.77,5.03,4.67,7.68,7.52,13.35,31.27,26.21
194303,7.35,3.74,5.3,6.75,6.12,4.42,7.69,11.46,5.63,9.75,2.4
194304,2.71,1.76,0.35,-1.03,0.18,-0.65,1.35,1.38,1.92,4.71,2
194305,8.53,6.16,5.4,4.11,7.51,5.72,4.59,4.93,4.66,10.29,1.76
194306,-1.03,2.32,2.92,1.82,1.84,3.42,1.25,0.65,0.27,-1.1,-0.07
194307,-10.74,-6.41,-4.78,-3.51,-2.4,-2.95,-3.64,-7.22,-6.85,-5.74,5
194308,2.41,1.37,3.05,2.61,1.53,1.71,1.51,-0.35,1.51,-0.33,-2.74
194309,0.88,3.85,2.99,4.27,3.44,2.43,1.16,2.25,2.05,0.83,-0.05
194310,0.99,-1.22,-0.91,-0.25,-1.93,-0.52,-1.33,-2.55,-1.79,-1.71,-2.7
194311,-8.36,-6.13,-7.53,-5.2,-6.39,-5.29,-2.75,-6.97,-8.65,-7.94,0.42
194312,19.12,12.16,11.54,8.51,8.42,6.78,6.56,5.03,4.67,3.89,-15.23
194401,1.96,1.91,2.64,1.71,0.93,2.6,0.83,1.28,1.52,3.56,1.6
194402,0.28,0.52,0.39,1.34,-1,-0.81,0.59,-0.05,1.37,2.41,2.13
194403,4.18,3.48,2.64,1.62,1.18,2.01,2.39,3.81,0.84,2.45,-1.73
194404,-2.09,-1.66,-1.6,-1.16,-0.83,-2.06,-1.36,-3.26,-3.88,-1.76,0.33
194405,8.39,7.04,5.75,7.13,6.22,5.14,6.04,3.91,3.67,3.64,-4.75
194406,7.91,3.21,4.36,4.97,6.72,6.35,7.07,4.07,5.4,11.24,3.33
194407,-0.27,-0.94,-0.42,-0.78,-2.88,-0.36,-2.87,-3.14,-3.9,-3.37,-3.1
194408,7.31,2.46,3.09,1.33,1.06,1.34,1.37,1.48,1.28,0.45,-6.86
194409,0.21,-0.59,0.36,0.16,-0.06,0.1,0.86,-0.61,0.17,-2.4,-2.61
194410,-1.11,0.32,-0.96,1.53,1.36,0.56,-0.77,0.12,-0.94,-0.1,1.01
194411,2.66,2.94,2.16,1.81,2.25,0.45,0.62,2.26,1.73,1.46,-1.2
194412,5.03,4.51,2.7,2.88,2.91,3.93,4.23,5.26,7.52,7.6,2.57
194501,3.98,0.08,2.69,2.41,5.33,2.17,1.7,1.94,-0.1,-2.28,-6.26
194502,10.71,5.67,6.33,5.95,5.38,5.72,6.63,6.21,4.93,8.55,-2.16
194503,-2.47,-2.77,-2.48,-3.94,-3.46,-4.3,-4.56,-5.38,-7.18,-7.67,-5.2
194504,13.98,11.38,8.99,8.82,8.34,9.04,8.76,6.54,5.25,7.12,-6.86
194505,4.16,3.74,3.86,0.67,1.44,0.86,0.64,1.51,1.25,2.18,-1.98
194506,0.8,1.42,1.3,0.33,-0.66,0.62,0.08,-0.16,0.49,1.17,0.37
194507,-1.48,-1.32,-1.73,-3.34,-1.94,-1.51,-0.08,-2.35,-5.79,-9.02,-7.54
194508,2.69,7.79,9.88,6.41,6.97,8,6.51,7.09,3.05,4.51,1.82
194509,8.53,4.09,4.25,3.66,4.69,4.34,6.06,4.79,3.66,3.9,-4.63
194510,3.33,4.74,2.85,3.47,5.05,3.7,2.36,4.34,6.45,7.35,4.02
194511,6.52,2.86,4.11,3.81,6.55,6.74,5.74,7.4,6.56,7.3,0.78
194512,2.5,1.35,1.77,2.04,1.59,3.27,-0.32,0.02,-1.74,-1.67,-4.17
194601,7.71,6.24,7.14,7.4,5.68,4.75,6.73,6.2,9.73,4.42,-3.29
194602,-5,-5.2,-3.54,-5.8,-6.33,-4.9,-7.58,-7.26,-6.19,-10.07,-5.07
194603,4.23,3.66,5.85,6.2,2.98,6.6,6.91,7.79,4.82,7.26,3.03
194604,-0.16,1.02,2.26,3.35,3.41,5.58,4.93,5.2,6.57,6.58,6.74
194605,6.65,5.29,5.9,3.9,3.48,3.48,3.91,2.4,3,2.72,-3.93
194606,-4.98,-3.83,-3.04,-3.71,-2.55,-3.68,-5.02,-5.11,-4.34,-5.26,-0.28
194607,-3.41,-4.65,-2.32,-2.29,-3.38,-3.14,-2.68,-2.95,-1.13,-2.97,0.44
194608,-8.17,-6.41,-6.28,-7.84,-8.12,-6.89,-6.43,-5.31,-6.09,-5.71,2.46
194609,-16.29,-12.82,-12.48,-12.6,-10.95,-7.81,-9.75,-9.62,-8.78,-9.5,6.79
194610,-0.19,-0.57,-1.49,0.63,-1.68,-1.19,-1.97,-0.63,-1.9,-2.19,-2
194611,-0.98,-1.22,0.94,-0.8,0.09,0.19,0.35,-0.68,0.41,-1.32,-0.34
194612,4.18,5.56,4.36,4.48,4.82,5.18,4.77,5.62,5.46,5.81,1.63
194701,3.91,2.86,4.8,2.28,0.73,2.09,-0.2,0.58,-0.71,-2.69,-6.6
194702,-0.13,-0.8,-1.63,-1.38,-1.68,-1,-0.28,-1.37,-2,0.59,0.72
194703,-2.86,-1.9,-1.75,-0.41,-1.21,-2.21,-1.77,-2.18,-0.77,-3.33,-0.47
194704,-10.44,-8.37,-6.68,-5.65,-5.8,-6.33,-3.26,-5.8,-2.52,-3.33,7.11
194705,-6.36,-4.6,-3.29,-0.32,-1.64,-0.48,-0.37,-1.87,-0.6,0.41,6.77
194706,2.69,7.49,4.74,6.53,5.65,4.88,2.94,5.49,5.95,7.3,4.61
194707,3.35,6.57,6.1,3.99,5.71,3.67,2.13,4.83,4.31,3.28,-0.07
194708,-1.18,-0.08,-1.07,-1.6,-2.25,-2.56,-2.45,-2.02,-3.2,-3.08,-1.9
194709,0.83,-0.43,-0.7,1.64,-1.83,-0.12,-0.96,-0.42,-1.85,0.91,0.08
194710,5.92,4.03,3.56,2.79,1.17,2.68,2.36,1.95,2.37,0.75,-5.17
194711,-3.68,-4.61,-1.48,-1.79,-1.43,-0.69,-1.65,-2,-1.36,-4.07,-0.39
194712,1.33,3.17,3.9,2.46,5.42,2.24,2.41,3.98,2.7,3,1.67
194801,2.67,-0.87,-2.37,-3.21,-2.49,-3.29,-3.84,-6.45,-6.03,-5.88,-8.55
194802,-3.06,-3.06,-4.48,-5.83,-5.4,-4.06,-2.98,-5.28,-5.19,-4.34,-1.28
194803,11.38,13.19,10.58,8.91,9.07,9.21,6.25,9.17,6.16,5.11,-6.27
194804,2.32,2.72,3.81,2.69,6.26,4.12,2.52,4.24,4.8,3.7,1.38
194805,8.6,10.71,7.09,7.53,7.86,6.58,6.8,6.97,6.52,6.54,-2.06
194806,-0.5,-0.23,1.4,-0.6,1.09,-0.3,-1.75,-0.85,-0.32,0.36,0.86
194807,-2.42,-5.11,-5.78,-3.88,-4.17,-4.02,-4.07,-5.34,-7.11,-7.82,-5.4
